index,src,text
1,image1.png,"Most megnézzük, mit jelentenek ezek az aláhúzott kifejezések. <span class='highlight'>Ez kiemelt szöveg.</span>"
2,image2.png,"Ez most lehet, bonyolultnak tünik <span class='highlight'>Ez kiemelt szöveg.</span>"
3,image3.png,"de elképzelhető, hogy könnyen megérted <span class='highlight'>továbbá szeretném megjegyezni.</span>"
4,image4.png,"de elképzelhető, hogy könnyen megérted <span class='highlight'>hogy ez csupán egy próba</span>"
5,image5.png,"de elképzelhető, hogy könnyen megérted <span class='highlight'>amit szeretnék a legjobban megcsinálni, hogy később minden</span>"
6,image6.png,"de elképzelhető, hogy könnyen megérted <span class='highlight'>tökéletesen sikerülhessen</span>"
7,image7.png,"de elképzelhető, hogy könnyen megérted <span class='highlight'>ez igeeeeeeeeen!</span>"
8,image8.png,"de elképzelhető, hogy könnyen megérted <span class='highlight'>hurrrrráááá!</span>"
9,image9.png,"de elképzelhető, hogy könnyen megérted <span class='highlight'>juhúúúúúú juhúú a birkatánc</span>"
10,image10.png,"de elképzelhető, hogy könnyen megérted <span class='highlight'>ez aztán nem semmmmmmi</span>"
